Vehicle Type,Make,Model,Year,Price,Milleage,District,published date,Vehicle URL
Car,Suzuki,Zen,2006,"Rs. 2,490,000",146000,Gampaha,1h ago,https://riyasewana.com/buy/suzuki-zen-sale-gampaha-11408117
Car,Toyota,Axio G Grade,2017,"Rs. 11,250,000",147300,Gampaha,Mar 21,https://riyasewana.com/buy/toyota-axio-g-sale-gampaha-11372352
Car,Suzuki,Swift Center Antenna,2005,"Rs. 4,300,000",123900,Kiribathgoda,2h ago,https://riyasewana.com/buy/suzuki-swift-center-sale-kiribathgoda-11407919
Car,BMW,X2 M35I,2025,Negotiable,1000,Colombo,Mar 26,https://riyasewana.com/buy/bmw-x2-m35i-sale-colombo-11398142
Car,Suzuki,BURGMAN,2026,"Rs. 1,050,000",800,Mawanella,Just now,https://riyasewana.com/buy/suzuki-burgman-sale-mawanella-11408490
Car,Suzuki,Maruti,1996,"Rs. 1,350,000",1111,Kalutara,Just now,https://riyasewana.com/buy/suzuki-maruti-sale-kalutara-11408489
Car,BMW,520I,2003,"Rs. 11,000,000",125000,Malabe,Just now,https://riyasewana.com/buy/bmw-520i-sale-malabe-11408488
Car,Toyota,Coaster,2008,"Rs. 14,950,000",,Kegalle,1m ago,https://riyasewana.com/buy/toyota-coaster-sale-kegalle-11408487
Car,Bajaj,Discover,2012,"Rs. 275,000",78000,Kadawatha,2m ago,https://riyasewana.com/buy/bajaj-discover-sale-kadawatha-11408486
Car,Toyota,Vios,2003,"Rs. 5,400,000",1,Kandy,2m ago,https://riyasewana.com/buy/toyota-vios-sale-kandy-11408485
Car,Kia,Carnival,2015,"Rs. 19,000,000",106000,Colombo,2m ago,https://riyasewana.com/buy/kia-carnival-sale-colombo-11408484
Car,Micro,Kyron,2007,"Rs. 5,275,000",160000,Homagama,2m ago,https://riyasewana.com/buy/micro-kyron-sale-homagama-11408483
Car,Bajaj,4 Stroke,2014,Negotiable,63400,Nawalapitiya,3m ago,https://riyasewana.com/buy/bajaj-4-stroke-sale-nawalapitiya-11408482
Car,Nissan,Bluebird,1997,"Rs. 3,800,000",150000,Kurunegala,3m ago,https://riyasewana.com/buy/nissan-bluebird-sale-kurunegala-11408481
Car,Suzuki,Wagon R Stingray,2017,"Rs. 6,275,000",122500,Kaduwela,3m ago,https://riyasewana.com/buy/suzuki-wagon-r-sale-kaduwela-11408480
Car,Hero,Pleasure,2011,"Rs. 255,000",24000,Elpitiya,4m ago,https://riyasewana.com/buy/hero-pleasure-sale-elpitiya-11408479
Car,Nissan,AD Wagon,1996,"Rs. 2,375,000",170000,Veyangoda,4m ago,https://riyasewana.com/buy/nissan-ad-wagon-sale-veyangoda-11408478
Car,Yadea,T5,2024,"Rs. 375,000",13000,Anuradapura,4m ago,https://riyasewana.com/buy/yadea-t5-sale-anuradapura-11408477
Car,Toyota,Prius S Touring,2012,Negotiable,135000,Kuliyapitiya,4m ago,https://riyasewana.com/buy/toyota-prius-s-sale-kuliyapitiya-11408476
Car,Tata,Dimo Lokka,2019,"Rs. 3,895,000",240,Kuliyapitiya,5m ago,https://riyasewana.com/buy/tata-dimo-lokka-sale-kuliyapitiya-11408474
Car,Ashok-Leyland,Colombu Rider,2001,Rs. 40,123456,Dambulla,5m ago,https://riyasewana.com/buy/ashok-leyland-colombu-rider-sale-dambulla-11408473
Car,Toyota,Axio X Limited,2007,"Rs. 7,025,000",196000,Negombo,6m ago,https://riyasewana.com/buy/toyota-axio-x-sale-negombo-11408472
Car,Bajaj,CT-100,2005,"Rs. 250,000",6600,Minuwangoda,6m ago,https://riyasewana.com/buy/bajaj-ct-100-sale-minuwangoda-11408471
Car,Honda,Dio,2018,"Rs. 550,000",87000,Colombo,7m ago,https://riyasewana.com/buy/honda-dio-sale-colombo-11408470
Car,Toyota,Vitz,2018,"Rs. 8,150,000",74000,Moratuwa,7m ago,https://riyasewana.com/buy/toyota-vitz-sale-moratuwa-11408469
Car,Mitsubishi,L200 Single Cab,2008,Negotiable,60000,Gampaha,7m ago,https://riyasewana.com/buy/mitsubishi-l200-single-sale-gampaha-11408468
Car,Suzuki,Alto,2015,Negotiable,77000,Horana,7m ago,https://riyasewana.com/buy/suzuki-alto-sale-horana-11408467
Car,Mitsubishi,Montero V6,2003,"Rs. 11,500,000",185000,Veyangoda,7m ago,https://riyasewana.com/buy/mitsubishi-montero-v6-sale-veyangoda-11408466
Car,Toyota,Vista Cv40,1996,"Rs. 2,800,000",125000,Hanwella,8m ago,https://riyasewana.com/buy/toyota-vista-cv40-sale-hanwella-11408465
Car,Honda,Grace Ex Safety Limited,2017,Negotiable,61520,Dehiwala-Mt,8m ago,https://riyasewana.com/buy/honda-grace-ex-sale-dehiwala-mount-lavinia-11408464
Car,Honda,Grace,2016,"Rs. 9,650,000",120000,Colombo,8m ago,https://riyasewana.com/buy/honda-grace-sale-colombo-11408463
Car,Toyota,Coaster,2025,"Rs. 24,500,000",275,Dehiwala-Mt,8m ago,https://riyasewana.com/buy/toyota-coaster-sale-dehiwala-mount-lavinia-11408462
Car,Mazda,BG3P,1993,"Rs. 1,895,000",198533,Homagama,9m ago,https://riyasewana.com/buy/mazda-bg3p-sale-homagama-11408461
Car,Bajaj,2 Stroke,1998,"Rs. 435,000",4578,Matale,11m ago,https://riyasewana.com/buy/bajaj-2-stroke-sale-matale-11408460
Car,Toyota,Yaris,2012,"Rs. 6,700,000",157000,Battaramulla,11m ago,https://riyasewana.com/buy/toyota-yaris-sale-battaramulla-11408459
Car,Mazda,Carol Alto,2015,"Rs. 4,875,000",92000,Ja-Ela,11m ago,https://riyasewana.com/buy/mazda-carol-alto-sale-ja-ela-11408458
Car,Bajaj,Pulsar 135,2015,"Rs. 345,000",49000,Divulapitiya,13m ago,https://riyasewana.com/buy/bajaj-pulsar-135-sale-divulapitiya-11408457
Car,Suzuki,Wagon R FX,2024,"Rs. 7,450,000",4500,Marawila,13m ago,https://riyasewana.com/buy/suzuki-wagon-r-sale-marawila-11408456
Car,Mitsubishi,ASP Model,1989,"Rs. 1,650,000",1,Anuradapura,13m ago,https://riyasewana.com/buy/mitsubishi-asp-model-sale-anuradapura-11408455
Car,Nissan,Nissan,1993,"Rs. 1,500,000",634002,Colombo,14m ago,https://riyasewana.com/buy/nissan-nissan-sale-colombo-11408453
Car,Tata,Indica,2006,"Rs. 1,850,000",58000,Horana,14m ago,https://riyasewana.com/buy/tata-indica-sale-horana-11408452
Car,Suzuki,Alto Sports,2011,"Rs. 3,060,000",139000,Kurunegala,15m ago,https://riyasewana.com/buy/suzuki-alto-sports-sale-kurunegala-11408451
Car,TVS,Scooty Streak,2010,"Rs. 185,000",40000,Divulapitiya,15m ago,https://riyasewana.com/buy/tvs-scooty-streak-sale-divulapitiya-11408450
Car,Hero,Pleasure,2012,"Rs. 240,000",620000,Minuwangoda,15m ago,https://riyasewana.com/buy/hero-pleasure-sale-minuwangoda-11408449
Van,Mitsubishi,Montero,2013,"Rs. 20,900,000",181247,Kottawa,Mar 22,https://riyasewana.com/buy/mitsubishi-montero-sale-kottawa-11378722
Van,BMW,X5,2016,"Rs. 25,500,000",83000,Colombo,Yesterday,https://riyasewana.com/buy/bmw-x5-sale-colombo-11402598
Van,Kia,Sorento 112,2012,Negotiable,174000,Balangoda,Mar 23,https://riyasewana.com/buy/kia-sorento-112-sale-balangoda-11384234
Van,Yamaha,Alpha,2015,"Rs. 310,000",40000,Kiribathgoda,9h ago,https://riyasewana.com/buy/yamaha-alpha-sale-kiribathgoda-11404594
Pickup,Micro,Kyron,2008,"Rs. 4,000,000",168000,Colombo,7h ago,https://riyasewana.com/buy/micro-kyron-sale-colombo-11405700
Pickup,Toyota,ROOMY G LED X Enon,2024,Negotiable,,Panadura,Mar 21,https://riyasewana.com/buy/toyota-roomy-g-sale-panadura-11375062
Pickup,Honda,Fit GE6 I Vtec Full Spec Edition,2008,"Rs. 5,915,000",150000,Colombo,6h ago,https://riyasewana.com/buy/honda-fit-ge6-sale-colombo-11406196
Pickup,Honda,Hornet,2008,"Rs. 1,490,000",60000,Horana,Just now,https://riyasewana.com/buy/honda-hornet-sale-horana-11408491
SUV,Toyota,Roomy M900A Custom G,2023,"Rs. 9,050,000",20000,Colombo,Mar 26,https://riyasewana.com/buy/toyota-roomy-m900a-sale-colombo-11397665
SUV,Yamaha,Ray ZR,2018,"Rs. 460,000",39000,Nuwara-Eliya,25m ago,https://riyasewana.com/buy/yamaha-ray-zr-sale-nuwara-eliya-11408410
SUV,Suzuki,Wagon R FX,2024,"Rs. 7,300,000",15000,Kandy,Mar 26,https://riyasewana.com/buy/suzuki-wagon-r-sale-kandy-11396920
SUV,Bajaj,RE,2015,"Rs. 1,575,000",340000,Nugegoda,Mar 25,https://riyasewana.com/buy/bajaj-re-sale-nugegoda-11394034
