Vehicle Type,Make,Model,Year,Price,Milleage,District,published date,Vehicle URL
Car,Hyundai,Grand I10,2023,"Rs. 7,550,000",14000,Nawala,2h ago,https://riyasewana.com/buy/hyundai-grand-i10-sale-nawala-11407897
Car,Mazda,2 Sedan,2010,"Rs. 6,000,000",132000,Kottawa,1h ago,https://riyasewana.com/buy/mazda-2-sedan-sale-kottawa-11408186
Car,Kia,Sorento 112,2012,Negotiable,174000,Balangoda,Mar 23,https://riyasewana.com/buy/kia-sorento-112-sale-balangoda-11384234
Car,Toyota,Hilux,2016,"Rs. 15,500,000",170000,Pannipitiya,Yesterday,https://riyasewana.com/buy/toyota-hilux-sale-pannipitiya-11403730
Car,Hero,Splendor,2008,"Rs. 175,000",110,Nittambuwa,Just now,https://riyasewana.com/buy/hero-splendor-sale-nittambuwa-11408512
Car,Toyota,Premio G Superior With Electric Seats And Auto Stop,2016,"Rs. 12,690,000",150000,Ja-Ela,1m ago,https://riyasewana.com/buy/toyota-premio-g-sale-ja-ela-11408508
Car,Bajaj,Discovery 135,2008,Negotiable,1234,Kurunegala,1m ago,https://riyasewana.com/buy/bajaj-discovery-135-sale-kurunegala-11408507
Car,Mahindra,Jeeto,2015,"Rs. 1,690,000",54895,Gampaha,2m ago,https://riyasewana.com/buy/mahindra-jeeto-sale-gampaha-11408504
Car,Bajaj,2stok Bajaj,2002,"Rs. 575,000",1,Kandana,3m ago,https://riyasewana.com/buy/bajaj-2stok-bajaj-sale-kandana-11408503
Car,Toyota,Coaster,2006,"Rs. 13,950,000",220000,Kegalle,3m ago,https://riyasewana.com/buy/toyota-coaster-sale-kegalle-11408501
Car,Honda,FIT Aria,2006,"Rs. 4,800,000",168000,Kottawa,3m ago,https://riyasewana.com/buy/honda-fit-aria-sale-kottawa-11408500
Car,Tata,Safari,2002,"Rs. 1,950,000",100000,Puttalam,4m ago,https://riyasewana.com/buy/tata-safari-sale-puttalam-11408498
Car,Nissan,March K11,2003,"Rs. 3,250,000",169000,Kottawa,4m ago,https://riyasewana.com/buy/nissan-march-k11-sale-kottawa-11408497
Car,Tata,Ace Demo Batta,2007,"Rs. 1,275,000",46500,Mahiyanganaya,5m ago,https://riyasewana.com/buy/tata-ace-demo-sale-mahiyanganaya-11408496
Car,Chery,QQ 308,2011,"Rs. 1,950,000",56000,Ratnapura,5m ago,https://riyasewana.com/buy/chery-qq-308-sale-ratnapura-11408495
Car,Toyota,Corona AT170,1991,"Rs. 2,375,000",220000,Homagama,5m ago,https://riyasewana.com/buy/toyota-corona-at170-sale-homagama-11408493
Car,Bajaj,2 Stroke,2006,"Rs. 680,000",10000,Gampaha,6m ago,https://riyasewana.com/buy/bajaj-2-stroke-sale-gampaha-11408492
Car,Honda,Hornet,2008,"Rs. 1,490,000",60000,Horana,6m ago,https://riyasewana.com/buy/honda-hornet-sale-horana-11408491
Car,Suzuki,BURGMAN,2026,"Rs. 1,050,000",800,Mawanella,6m ago,https://riyasewana.com/buy/suzuki-burgman-sale-mawanella-11408490
Car,Suzuki,Maruti,1996,"Rs. 1,350,000",1111,Kalutara,6m ago,https://riyasewana.com/buy/suzuki-maruti-sale-kalutara-11408489
Car,BMW,520I,2003,"Rs. 11,000,000",125000,Malabe,7m ago,https://riyasewana.com/buy/bmw-520i-sale-malabe-11408488
Car,Toyota,Coaster,2008,"Rs. 14,950,000",,Kegalle,8m ago,https://riyasewana.com/buy/toyota-coaster-sale-kegalle-11408487
Car,Bajaj,Discover,2012,"Rs. 275,000",78000,Kadawatha,8m ago,https://riyasewana.com/buy/bajaj-discover-sale-kadawatha-11408486
Car,Toyota,Vios,2003,"Rs. 5,400,000",1,Kandy,8m ago,https://riyasewana.com/buy/toyota-vios-sale-kandy-11408485
Car,Kia,Carnival,2015,"Rs. 19,000,000",106000,Colombo,8m ago,https://riyasewana.com/buy/kia-carnival-sale-colombo-11408484
Car,Micro,Kyron,2007,"Rs. 5,275,000",160000,Homagama,9m ago,https://riyasewana.com/buy/micro-kyron-sale-homagama-11408483
Car,Bajaj,4 Stroke,2014,Negotiable,63400,Nawalapitiya,9m ago,https://riyasewana.com/buy/bajaj-4-stroke-sale-nawalapitiya-11408482
Car,Nissan,Bluebird,1997,"Rs. 3,800,000",150000,Kurunegala,9m ago,https://riyasewana.com/buy/nissan-bluebird-sale-kurunegala-11408481
Car,Suzuki,Wagon R Stingray,2017,"Rs. 6,275,000",122500,Kaduwela,10m ago,https://riyasewana.com/buy/suzuki-wagon-r-sale-kaduwela-11408480
