Vehicle Type,Make,Model,Year,Price,Milleage,District,published date,Vehicle URL
Car,Bajaj,4 Stroke,2008,"Rs. 955,000",,Embilipitiya,Mar 24,https://riyasewana.com/buy/bajaj-4-stroke-sale-embilipitiya-11388241
Car,Mazda,6 GT,2015,"Rs. 11,800,000",137000,Colombo,6h ago,https://riyasewana.com/buy/mazda-6-gt-sale-colombo-11405626
Car,Suzuki,Alto 800,2015,"Rs. 3,790,000",124000,Kandana,7h ago,https://riyasewana.com/buy/suzuki-alto-800-sale-kandana-11404723
Car,Suzuki,A-Star,2010,"Rs. 3,800,000",123400,Piliyandala,57m ago,https://riyasewana.com/buy/suzuki-a-star-sale-piliyandala-11407956
Car,Daihatsu,Terios,2011,Negotiable,212,Mawanella,Just now,https://riyasewana.com/buy/daihatsu-terios-sale-mawanella-11408230
Car,Bajaj,Re 2sreok,2006,"Rs. 835,000",136984,Kandy,Just now,https://riyasewana.com/buy/bajaj-re-2sreok-sale-kandy-11408229
Car,Toyota,Passo,2013,"Rs. 5,590,000",140000,Homagama,Just now,https://riyasewana.com/buy/toyota-passo-sale-homagama-11408228
Car,Mercedes-Benz,E300,2015,Negotiable,86848,Negombo,Just now,https://riyasewana.com/buy/mercedes-benz-e300-sale-negombo-11408227
Car,Suzuki,Maruti,2005,"Rs. 1,990,000",106000,Mirigama,Just now,https://riyasewana.com/buy/suzuki-maruti-sale-mirigama-11408226
Car,Toyota,Vitz,2019,"Rs. 8,650,000",61000,Horana,Just now,https://riyasewana.com/buy/toyota-vitz-sale-horana-11408225
Car,TVS,Metro,2016,"Rs. 275,000",34000,Kegalle,Just now,https://riyasewana.com/buy/tvs-metro-sale-kegalle-11407462
Car,Honda,Dio,2019,"Rs. 555,000",37500,Kalutara,1m ago,https://riyasewana.com/buy/honda-dio-sale-kalutara-11408224
Car,Toyota,Micro,2012,"Rs. 9,600,000",50000,Polonnaruwa,1m ago,https://riyasewana.com/buy/toyota-micro-sale-polonnaruwa-11407380
Car,Honda,Dio,2017,Negotiable,70000,Kuliyapitiya,1m ago,https://riyasewana.com/buy/honda-dio-sale-kuliyapitiya-11408223
Car,Yamaha,Mate V80,1996,"Rs. 88,000",10000,Kandy,2m ago,https://riyasewana.com/buy/yamaha-mate-v80-sale-kandy-11408222
Car,Honda,DIO,2018,"Rs. 535,000",18000,Trincomalee,2m ago,https://riyasewana.com/buy/honda-dio-sale-trincomalee-11407337
Car,Bajaj,RE,2015,"Rs. 1,480,000",60000,Matale,2m ago,https://riyasewana.com/buy/bajaj-re-sale-matale-11408221
