Vehicle Type,Make,Model,Year,Price,Milleage,District,published date,Vehicle URL
Car,Ford,Ranger,2017,Negotiable,110000,Colombo,Mar 20,https://riyasewana.com/buy/ford-ranger-sale-colombo-11368027
Car,Nissan,CEDRIC Y32 B,1994,"Rs. 5,475,000",141000,Matara,Mar 26,https://riyasewana.com/buy/nissan-cedric-y32-sale-matara-11396341
Car,Toyota,Vitz,2008,"Rs. 5,575,000",195000,Wennappuwa,7h ago,https://riyasewana.com/buy/toyota-vitz-sale-wennappuwa-11405289
Car,Mazda,6 GT,2015,"Rs. 11,800,000",137000,Colombo,7h ago,https://riyasewana.com/buy/mazda-6-gt-sale-colombo-11405626
Car,Micro,Panda,2016,"Rs. 3,250,000",50100,Colombo,Just now,https://riyasewana.com/buy/micro-panda-sale-colombo-11408517
Car,Suzuki,Every Join,2024,"Rs. 8,250,000",270,Colombo,Just now,https://riyasewana.com/buy/suzuki-every-join-sale-colombo-11408516
Car,Bajaj,2 Stroke,1998,"Rs. 425,000",,Panadura,Just now,https://riyasewana.com/buy/bajaj-2-stroke-sale-panadura-11408514
Car,Honda,Civic Es8,2002,"Rs. 5,500,000",240000,Kandy,1m ago,https://riyasewana.com/buy/honda-civic-es8-sale-kandy-11408513
Car,Hero,Splendor,2008,"Rs. 175,000",110,Nittambuwa,1m ago,https://riyasewana.com/buy/hero-splendor-sale-nittambuwa-11408512
Car,Suzuki,Every,2025,"Rs. 7,125,000",2719,Harispattuwa,1m ago,https://riyasewana.com/buy/suzuki-every-sale-harispattuwa-11408511
Car,Toyota,Premio G Superior With Electric Seats And Stop,2016,"Rs. 12,690,000",150000,Ja-Ela,2m ago,https://riyasewana.com/buy/toyota-premio-g-sale-ja-ela-11408508
Car,Bajaj,Discover 135,2008,Negotiable,1234,Kurunegala,2m ago,https://riyasewana.com/buy/bajaj-discover-135-sale-kurunegala-11408507
Car,Mahindra,Jeeto,2015,"Rs. 1,690,000",54895,Gampaha,3m ago,https://riyasewana.com/buy/mahindra-jeeto-sale-gampaha-11408504
Car,Bajaj,RE,2002,"Rs. 575,000",1,Kandana,4m ago,https://riyasewana.com/buy/bajaj-re-sale-kandana-11408503
