Vehicle Type,Make,Model,Year,Price,Milleage,District,published date,Vehicle URL
Car,Bajaj,Discover,2012,"Rs. 265,000",50000,Kiribathgoda,Yesterday,https://riyasewana.com/buy/bajaj-discover-sale-kiribathgoda-11400344
Car,Toyota,KDH 201 Super GL Dark Prime,2017,"Rs. 27,200,000",120000,Embilipitiya,Yesterday,https://riyasewana.com/buy/toyota-kdh-201-sale-embilipitiya-11400245
Car,Toyota,Corolla AE110,1999,Negotiable,,Matara,8h ago,https://riyasewana.com/buy/toyota-corolla-ae110-sale-matara-11405050
Car,Piaggio,Ape,2006,"Rs. 900,000",2,Kurunegala,Yesterday,https://riyasewana.com/buy/piaggio-ape-sale-kurunegala-11400559
Car,Honda,Dio,2016,"Rs. 450,000",123456,Negombo,Just now,https://riyasewana.com/buy/honda-dio-sale-negombo-11408543
Car,Honda,Dio,2016,"Rs. 450,000",123456,Negombo,Just now,https://riyasewana.com/buy/honda-dio-sale-negombo-11408542
Car,Bajaj,CT-100,2012,"Rs. 265,000",19658,Galle,Just now,https://riyasewana.com/buy/bajaj-ct-100-sale-galle-11408541
Car,Toyota,Vitz 130,2015,"Rs. 6,850,000",58000,Colombo,Just now,https://riyasewana.com/buy/toyota-vitz-130-sale-colombo-11408540
Car,Honda,Dio,2016,"Rs. 450,000",123456,Negombo,1m ago,https://riyasewana.com/buy/honda-dio-sale-negombo-11408539
Car,Honda,Dio,2017,"Rs. 555,000",27000,Moneragala,1m ago,https://riyasewana.com/buy/honda-dio-sale-moneragala-11408538
Car,Honda,Dio,2016,Negotiable,123456,Negombo,1m ago,https://riyasewana.com/buy/honda-dio-sale-negombo-11408537
Car,Toyota,LH 103,1995,"Rs. 9,275,000",1,Kandy,1m ago,https://riyasewana.com/buy/toyota-lh-103-sale-kandy-11408536
Car,Honda,Dio,2016,Negotiable,123456,Negombo,2m ago,https://riyasewana.com/buy/honda-dio-sale-negombo-11408534
Car,Toyota,Town Ace,1990,"Rs. 3,400,000",,Kandy,2m ago,https://riyasewana.com/buy/toyota-town-ace-sale-kandy-11408533
Car,Toyota,Corolla EE-110,1998,"Rs. 3,850,000",145000,Kandana,2m ago,https://riyasewana.com/buy/toyota-corolla-ee-110-sale-kandana-11408532
Car,Suzuki,Alto,2015,"Rs. 3,550,000",118179,Kandy,2m ago,https://riyasewana.com/buy/suzuki-alto-sale-kandy-11408531
Car,FAW,Dolphin 113,1994,"Rs. 6,600,000",1600000,Kurunegala,2m ago,https://riyasewana.com/buy/faw-dolphin-113-sale-kurunegala-11408530
Car,Toyota,IST,2008,Negotiable,,Avissawella,2m ago,https://riyasewana.com/buy/toyota-ist-sale-avissawella-11408529
Car,Audi,Q3 TFSI,2016,"Rs. 14,500,000",83500,Dehiwala-Mt,2m ago,https://riyasewana.com/buy/audi-q3-tfsi-sale-dehiwala-mount-lavinia-11408528
Car,Toyota,Vitz,2007,"Rs. 5,390,000",143685,Mirigama,3m ago,https://riyasewana.com/buy/toyota-vitz-sale-mirigama-11408526
Car,Micro,REXTON W 20.,2016,"Rs. 10,500,000",105,Gampaha,3m ago,https://riyasewana.com/buy/micro-rexton-w-sale-gampaha-11408499
Car,Micro,REXTON W 20.,2015,"Rs. 10,500,000",105,Gampaha,3m ago,https://riyasewana.com/buy/micro-rexton-w-sale-gampaha-11408494
Car,Hero,ISmart,2017,"Rs. 225,000",45000,Pannipitiya,3m ago,https://riyasewana.com/buy/hero-ismart-sale-pannipitiya-11408524
