Unnamed: 0,Vehicle Type,Make,Model,Year,Price,Milleage,District,published date,Vehicle URL,Condition
28246,SUV,Toyota,Raize Z Turbo,2024.0,12850000.0,2000.0,Ja-Ela,11/25/2025,https://riyasewana.com/buy/toyota-raize-z-sale-ja-ela-10816998,Brand New
28251,SUV,Honda,Vezel Z Play,2023.0,19300000.0,18000.0,Galle,11/25/2025,https://riyasewana.com/buy/honda-vezel-z-sale-galle-10816481,Recondition
28254,SUV,Honda,N Box,2024.0,9850000.0,100.0,Dehiwala-Mount-Lavinia,11/25/2025,https://riyasewana.com/buy/honda-n-box-sale-dehiwala-mount-lavinia-10816290,Brand New
28262,SUV,Toyota,CHR GT Bruno,2023.0,17750000.0,16000.0,Dehiwala-Mount-Lavinia,11/25/2025,https://riyasewana.com/buy/toyota-chr-gt-sale-dehiwala-mount-lavinia-10815890,Recondition
28263,SUV,Toyota,Raize,2024.0,14700000.0,9000.0,Malabe,11/25/2025,https://riyasewana.com/buy/toyota-raize-sale-malabe-10815885,Recondition
28264,SUV,Suzuki,Spacia Custom G,2023.0,8990000.0,4500.0,Dehiwala-Mount-Lavinia,11/25/2025,https://riyasewana.com/buy/suzuki-spacia-custom-sale-dehiwala-mount-lavinia-10815870,Brand New
28271,SUV,Toyota,Raize X Grade,2023.0,12250000.0,6000.0,Nugegoda,11/25/2025,https://riyasewana.com/buy/toyota-raize-x-sale-nugegoda-10815624,Recondition
28277,SUV,Honda,Vezel Z Play,2024.0,21450000.0,6500.0,Dehiwala-Mount-Lavinia,11/25/2025,https://riyasewana.com/buy/honda-vezel-z-sale-dehiwala-mount-lavinia-10815412,Recondition
28278,SUV,Toyota,Raize Z Premium,2025.0,14990000.0,50.0,Dehiwala-Mount-Lavinia,11/25/2025,https://riyasewana.com/buy/toyota-raize-z-sale-dehiwala-mount-lavinia-10815285,Brand New
28284,SUV,Suzuki,Spacia Custom XS Turbo,2023.0,9775000.0,1000.0,Dehiwala-Mount-Lavinia,11/25/2025,https://riyasewana.com/buy/suzuki-spacia-custom-sale-dehiwala-mount-lavinia-10814854,Brand New
28290,SUV,Toyota,Raize X Grade,2024.0,12190000.0,1750.0,Nugegoda,11/25/2025,https://riyasewana.com/buy/toyota-raize-x-sale-nugegoda-10814322,Brand New
28291,SUV,Toyota,Raize Z Grade,2025.0,13200000.0,95.0,Moratuwa,11/25/2025,https://riyasewana.com/buy/toyota-raize-z-sale-moratuwa-10813712,Brand New
28301,SUV,Honda,Vezel Z Premium,2025.0,19500000.0,5.0,Hendala,11/24/2025,https://riyasewana.com/buy/honda-vezel-z-sale-hendala-10812519,Brand New
28306,SUV,Toyota,Raize Z Grade,2025.0,15500000.0,1000.0,Negombo,11/24/2025,https://riyasewana.com/buy/toyota-raize-z-sale-negombo-10812211,Brand New
28310,SUV,Honda,Vezel Z Play,2025.0,20600000.0,270.0,Minuwangoda,11/24/2025,https://riyasewana.com/buy/honda-vezel-z-sale-minuwangoda-10811813,Brand New
28312,SUV,Suzuki,XBee,2023.0,10400000.0,16000.0,Pannipitiya,11/24/2025,https://riyasewana.com/buy/suzuki-xbee-sale-pannipitiya-10811660,Recondition
28325,SUV,Toyota,RAIZE,2023.0,13590000.0,2500.0,Colombo,11/24/2025,https://riyasewana.com/buy/toyota-raize-sale-colombo-10811010,Brand New
28326,SUV,Toyota,RAIZE Z GRADE,2024.0,13490000.0,5000.0,Colombo,11/24/2025,https://riyasewana.com/buy/toyota-raize-z-sale-colombo-10810973,Recondition
28330,SUV,Toyota,RAIZE G,2023.0,11990000.0,19365.0,Colombo,11/24/2025,https://riyasewana.com/buy/toyota-raize-g-sale-colombo-10810838,Recondition
28332,SUV,Toyota,RAIZE X,2023.0,11990000.0,6000.0,Colombo,11/24/2025,https://riyasewana.com/buy/toyota-raize-x-sale-colombo-10810821,Recondition
28341,SUV,Honda,Vezel Z,2024.0,18800000.0,4000.0,Kandy,11/24/2025,https://riyasewana.com/buy/honda-vezel-z-sale-kandy-10810029,Brand New
28344,SUV,Honda,Vezel,2025.0,19200000.0,60.0,Colombo,11/24/2025,https://riyasewana.com/buy/honda-vezel-sale-colombo-10809869,Brand New
28345,SUV,Honda,Vezel Z Premium,2025.0,19200000.0,20.0,Colombo,11/24/2025,https://riyasewana.com/buy/honda-vezel-z-sale-colombo-10809836,Brand New
28351,SUV,Honda,Vezel Z Play Moonroof,2024.0,20700000.0,4500.0,Colombo,11/24/2025,https://riyasewana.com/buy/honda-vezel-z-sale-colombo-10809391,Brand New
28352,SUV,Toyota,Raize Turbo 4WD,2024.0,12150000.0,25000.0,Kaduwela,11/24/2025,https://riyasewana.com/buy/toyota-raize-turbo-sale-kaduwela-10809388,Recondition
28357,SUV,Toyota,Raize Z Grade Japan,2025.0,13200000.0,95.0,Moratuwa,11/24/2025,https://riyasewana.com/buy/toyota-raize-z-sale-moratuwa-10808457,Brand New
28358,SUV,Toyota,Yaris Cross Z,2024.0,16800000.0,26000.0,Kadawatha,11/24/2025,https://riyasewana.com/buy/toyota-yaris-cross-sale-kadawatha-10807717,Recondition
28361,SUV,Chery,Tiggo 4 Pro,2024.0,10000000.0,12000.0,Wattala,11/23/2025,https://riyasewana.com/buy/chery-tiggo-4-sale-wattala-10807120,Recondition
28364,SUV,Toyota,Raize G,2024.0,12300000.0,20000.0,Nugegoda,11/23/2025,https://riyasewana.com/buy/toyota-raize-g-sale-nugegoda-10806892,Recondition
28366,SUV,Toyota,Raize,2025.0,13700000.0,250.0,Kandy,11/23/2025,https://riyasewana.com/buy/toyota-raize-sale-kandy-10806529,Brand New
28381,SUV,Toyota,Roomy Custom GT,2023.0,10790000.0,17000.0,Kandy,11/23/2025,https://riyasewana.com/buy/toyota-roomy-custom-sale-kandy-10805386,Recondition
28383,SUV,Honda,Vezel Z Premium,2024.0,17995000.0,29000.0,Colombo,11/23/2025,https://riyasewana.com/buy/honda-vezel-z-sale-colombo-10805228,Recondition
28386,SUV,Toyota,RAIZE,2024.0,12100000.0,10.0,Kiribathgoda,11/23/2025,https://riyasewana.com/buy/toyota-raize-sale-kiribathgoda-10804841,Brand New
28387,SUV,Honda,Vezel Z,2025.0,18975000.0,10000.0,Colombo,11/23/2025,https://riyasewana.com/buy/honda-vezel-z-sale-colombo-10804836,Recondition
28388,SUV,Toyota,RAIZE,2024.0,11800000.0,21000.0,Kiribathgoda,11/23/2025,https://riyasewana.com/buy/toyota-raize-sale-kiribathgoda-10804768,Recondition
