Class of Vehicle,Make/Manufa. Name,Model,Country,Fuel Used,Cylinder Capacity,District,Registration Status,No of vehicle,Model_Code,Clean_Name
CAR,HONDA,CR-V VTIL7,AUSTRALIA,PETROL,1498.0,COLOMBO,RECONDITIONED,1,CR-V,VTIL7
CAR,TOYOTA,5BA-M900A,JAPAN,PETROL,996.0,KALUTARA,RECONDITIONED,1,5BA-M900A,ROOMY
CAR,SUZUKI,5AAMH95S WAGON R,JAPAN,PETROL,658.0,COLOMBO,RECONDITIONED,1,,5AAMH95S WAGON R
CAR,HONDA,6AA-RV5 VEZEL,JAPAN,PETROL/ELE,1490.0,KEGALLE,RECONDITIONED,1,6AA-RV5,VEZEL
CAR,TOYOTA,6AA-MXPJ10 YARIS,JAPAN,PETROL/ELE,1496.0,MONERAGALA,RECONDITIONED,1,6AA-MXPJ10,YARIS
CAR,TOYOTA,5BA-M900A ROOMY,JAPAN,PETROL,996.0,AMPARA,RECONDITIONED,2,5BA-M900A,ROOMY
CAR,NISSAN,5BD-DR17V CLIPPER,JAPAN,PETROL,658.0,COLOMBO,RECONDITIONED,7,5BD-DR17V,CLIPPER
CAR,TOYOTA,3BA-TRJ250W,JAPAN,PETROL,2696.0,COLOMBO,RECONDITIONED,1,3BA-TRJ250W,Unknown
CAR,DAIHATSU,5AA-A202S,JAPAN,PETROL/ELE,1196.0,BADULLA,RECONDITIONED,1,5AA-A202S,Unknown
CAR,SUZUKI,5BA-MH85S WAGON R,JAPAN,PETROL,657.0,MATARA,RECONDITIONED,1,5BA-MH85S,WAGON R
CAR,TOYOTA,3BA-NGX10,JAPAN,PETROL,1196.0,PUTTALAM,RECONDITIONED,1,3BA-NGX10,CH-R
CAR,SUZUKI,5BA-MH85S WAGON R,JAPAN,PETROL,658.0,MATARA,RECONDITIONED,1,5BA-MH85S,WAGON R
CAR,TOYOTA,3BA-TRJ150W,JAPAN,PETROL,2693.0,KURUNEGALA,RECONDITIONED,1,3BA-TRJ150W,TX-L
CAR,SUZUKI,5AA-ZCEDS SWIFT,JAPAN,PETROL,1197.0,COLOMBO,RECONDITIONED,2,5AA-ZCEDS,SWIFT
CAR,HONDA,CRV,AUSTRALIA,PETROL,1498.0,COLOMBO,RECONDITIONED,3,,CRV
CAR,MERCEDES BENZ,5BA-247784M GLA 180,GERMANY,PETROL,1339.0,GALLE,RECONDITIONED,1,5BA-247784M,GLA 180
CAR,TOYOTA,6AAMXPJ10,JAPAN,PETROL/ELE,1490.0,GAMPAHA,RECONDITIONED,1,,6AAMXPJ10
CAR,TOYOTA,6AA-MXPJ10 YARIS,JAPAN,PETROL/ELE,1490.0,GAMPAHA,RECONDITIONED,7,6AA-MXPJ10,YARIS
CAR,AUDI,3AA-GYDLA,JAPAN,PETROL,999.0,MATARA,RECONDITIONED,1,3AA-GYDLA,A3
CAR,MG,MG4,THAILAND,ELECTRIC,125.0,COLOMBO,RECONDITIONED,1,,MG4
CAR,SUZUKI,5AA-MH95S WAGON R,JAPAN,PETROL/ELE,658.0,KALUTARA,RECONDITIONED,5,5AA-MH95S,WAGON R
CAR,HONDA,CITY RS,THAILAND,PETROL,988.0,COLOMBO,RECONDITIONED,14,,CITY RS
CAR,HONDA,6BA-JF5 N-BOX,JAPAN,PETROL,658.0,KEGALLE,RECONDITIONED,1,6BA-JF5,N-BOX
CAR,NISSAN,5BA-B43W DAYZ,JAPAN,PETROL,658.0,COLOMBO,RECONDITIONED,1,5BA-B43W,DAYZ
CAR,TOYOTA,3BA-A210A RAIZE,JAPAN,PETROL,996.0,GALLE,RECONDITIONED,11,3BA-A210A,RAIZE
CAR,SUZUKI,5AA-MK94S-SPACIA,JAPAN,PETROL,658.0,KALUTARA,RECONDITIONED,1,5AA-MK94S-SPACIA,Unknown
CAR,TOYOTA,3BA-A210A RAIZE,JAPAN,PETROL,996.0,KURUNEGALA,RECONDITIONED,7,3BA-A210A,RAIZE
CAR,TOYOTA,4BA-M900A ROOMY,JAPAN,PETROL,996.0,JAFFNA,RECONDITIONED,2,4BA-M900A,ROOMY
CAR,TOYOTA,5BA-M900A ROOMY,JAPAN,PETROL,996.0,KURUNEGALA,RECONDITIONED,4,5BA-M900A,ROOMY
CAR,TOYOTA,5BA-KSP210 YARIS,JAPAN,PETROL,996.0,MATARA,RECONDITIONED,12,5BA-KSP210,YARIS
CAR,SUZUKI,5BA-MH85S WAGON R,JAPAN,PETROL,658.0,GALLE,RECONDITIONED,2,5BA-MH85S,WAGON R
