Class of Vehicle,Make/Manufa. Name,Model,Country,Fuel Used,Cylinder Capacity,District,Registration Status,No of vehicle,Model_Code,Clean_Name
CAR,NISSAN,6AA-E13 NOTE,JAPAN,PETROL/ELE,85.0,COLOMBO,RECONDITIONED,2,6AA-E13,NOTE
CAR,MERCEDES BENZ,4AA-213077C E CLASS,GERMANY,PETROL,1490.0,COLOMBO,RECONDITIONED,1,4AA-213077C,E CLASS
CAR,HONDA,VEZEL 6AA-RV5,JAPAN,PETROL/ELE,1496.0,KALUTARA,RECONDITIONED,1,,VEZEL 6AA-RV5
CAR,DAIHATSU,5BA-LA350S MIRA E S,JAPAN,PETROL,658.0,PUTTALAM,RECONDITIONED,1,5BA-LA350S,MIRA E S
CAR,TOYOTA,5BA-LA350A PIXIS,JAPAN,PETROL,658.0,GAMPAHA,RECONDITIONED,2,5BA-LA350A,PIXIS
CAR,TESLA,ZAA-YLIYT MODEL Y,U.S.A,ELECTRIC,194.0,COLOMBO,RECONDITIONED,1,ZAA-YLIYT,MODEL Y
CAR,TOYOTA,5BA-MZEA17 COROLLA,JAPAN,PETROL,1496.0,ANURADHAPURA,RECONDITIONED,1,5BA-MZEA17,COROLLA
CAR,TOYOTA,3BA-A210A RAIZE,JAPAN,PETROL,996.0,GALLE,RECONDITIONED,12,3BA-A210A,RAIZE
CAR,TOYOTA,3BA-A210A RAIZE,JAPAN,PETROL,998.0,GALLE,RECONDITIONED,1,3BA-A210A,RAIZE
CAR,SUZUKI,5AA-MR92S HUSTLER,JAPAN,PETROL,650.0,COLOMBO,RECONDITIONED,1,5AA-MR92S,HUSTLER
CAR,LEXUS,3BA-VJA310W  LX600,JAPAN,PETROL,3444.0,COLOMBO,RECONDITIONED,1,3BA-VJA310W,LX600
CAR,TOYOTA,5BA-KSP210 YARIS,JAPAN,PETROL,996.0,MATARA,RECONDITIONED,9,5BA-KSP210,YARIS
CAR,SUZUKI,5BD-DA17V  EVERY,JAPAN,PETROL,658.0,COLOMBO,RECONDITIONED,2,5BD-DA17V,EVERY
CAR,TOYOTA,3BA-A210A RAIZE,JAPAN,PETROL,996.0,KURUNEGALA,RECONDITIONED,14,3BA-A210A,RAIZE
CAR,TOYOTA,3BA-A210A RAIZE,JAPAN,PETROL,996.0,MONERAGALA,RECONDITIONED,2,3BA-A210A,RAIZE
CAR,TOYOTA,5BA-M900A ROOMY,JAPAN,PETROL,996.0,KURUNEGALA,RECONDITIONED,10,5BA-M900A,ROOMY
CAR,SUZUKI,5AA-MH95S WAGON R,JAPAN,PETROL,657.0,JAFFNA,RECONDITIONED,2,5AA-MH95S,WAGON R
CAR,SUZUKI,3BA-HA37S ALTO,JAPAN,PETROL,650.0,KURUNEGALA,RECONDITIONED,1,3BA-HA37S,ALTO
CAR,SUZUKI,3BA-DA17W EVERY,JAPAN,PETROL,658.0,KANDY,RECONDITIONED,8,3BA-DA17W,EVERY
CAR,SUZUKI,4AA-MK54S SPACIA,JAPAN,PETROL,658.0,NUWARA-ELIYA,RECONDITIONED,2,4AA-MK54S,SPACIA
CAR,SUZUKI,5BA-MH85S WAGON R,JAPAN,PETROL,658.0,GALLE,RECONDITIONED,4,5BA-MH85S,WAGON R
CAR,TOYOTA,5BA-M700A PASSO,JAPAN,PETROL,996.0,COLOMBO,RECONDITIONED,6,5BA-M700A,PASSO
CAR,SUZUKI,5AA-MH95S,JAPAN,PETROL,658.0,COLOMBO,RECONDITIONED,3,5AA-MH95S,Unknown
CAR,TOYOTA,YARIS 5BA-KSP210,JAPAN,PETROL,996.0,KANDY,RECONDITIONED,2,,YARIS 5BA-KSP210
CAR,HONDA,6AA-RV5  VEZEL,JAPAN,PETROL/ELE,1496.0,RATNAPURA,RECONDITIONED,2,6AA-RV5,VEZEL
CAR,HONDA,CITY RS,THAILAND,PETROL,988.0,COLOMBO,RECONDITIONED,37,,CITY RS
CAR,TOYOTA,6AA-ZVG13 COROLLA,JAPAN,PETROL/ELE,1797.0,GAMPAHA,RECONDITIONED,2,6AA-ZVG13,COROLLA
CAR,SUZUKI,5BA-MH85S,JAPAN,PETROL,657.0,GAMPAHA,RECONDITIONED,4,5BA-MH85S,WAGON  R
CAR,TOYOTA,5AA-A2002A RAIZE,JAPAN,PETROL/ELE,78.0,KEGALLE,RECONDITIONED,1,5AA-A2002A,RAIZE
CAR,NISSAN,5BA-B43W DAYZ,JAPAN,PETROL,658.0,COLOMBO,RECONDITIONED,6,5BA-B43W,DAYZ
CAR,TOYOTA,YARIS ATIV PREMIUM,THAILAND,PETROL,1197.0,KURUNEGALA,RECONDITIONED,2,,YARIS ATIV PREMIUM
CAR,HONDA,CITY RS,THAILAND,PETROL,988.0,JAFFNA,RECONDITIONED,4,,CITY RS
CAR,SUZUKI,5AA-HA97S ALTO,JAPAN,PETROL,658.0,GAMPAHA,RECONDITIONED,2,5AA-HA97S,ALTO
CAR,MITSUBISHI,5BA-B33W EK WAGON,JAPAN,PETROL,658.0,RATNAPURA,RECONDITIONED,3,5BA-B33W,EK WAGON
CAR,SUZUKI,5AA-ZCEDS SWIFT,JAPAN,PETROL,1196.0,RATNAPURA,RECONDITIONED,1,5AA-ZCEDS,SWIFT
CAR,SUZUKI,5AA-MK94S SPACIA,JAPAN,PETROL,658.0,COLOMBO,RECONDITIONED,15,5AA-MK94S,SPACIA
CAR,TOYOTA,6AA-NHE165 AXIO,JAPAN,PETROL/ELE,1496.0,GALLE,RECONDITIONED,1,6AA-NHE165,AXIO
CAR,HONDA,6AA-RV5 VEZEL,JAPAN,PETROL/ELE,1496.0,ANURADHAPURA,RECONDITIONED,12,6AA-RV5,VEZEL
CAR,TOYOTA,6AA-MXPJ10  YARIS,JAPAN,PETROL/ELE,1496.0,AMPARA,RECONDITIONED,1,6AA-MXPJ10,YARIS
CAR,TOYOTA,3BA-A210A  RAIZE,JAPAN,PETROL,996.0,KANDY,RECONDITIONED,2,3BA-A210A,RAIZE
CAR,SUZUKI,5BA-MH85S WAGON R,JAPAN,PETROL,656.0,KURUNEGALA,RECONDITIONED,3,5BA-MH85S,WAGON R
CAR,MERCEDES BENZ,4AA-213077C,GERMANY,PETROL,1498.0,COLOMBO,RECONDITIONED,1,4AA-213077C,E CLASS
CAR,TOYOTA,4BA-M900A ROOMY,JAPAN,PETROL,996.0,JAFFNA,RECONDITIONED,2,4BA-M900A,ROOMY
CAR,HONDA,CRV VTIL 7,JAPAN,PETROL,1498.0,KURUNEGALA,RECONDITIONED,1,,CRV VTIL 7
CAR,NISSAN,5AA-B44W DAYZ,JAPAN,PETROL/ELE,658.0,COLOMBO,RECONDITIONED,1,5AA-B44W,DAYZ
CAR,SUZUKI,5AA-MH95S WAGON R,JAPAN,PETROL,658.0,GAMPAHA,RECONDITIONED,30,5AA-MH95S,WAGON R
CAR,VOLKSWAGEN,3BA-C1DKR,GERMANY,PETROL,996.0,COLOMBO,RECONDITIONED,1,3BA-C1DKR,TCROSS
CAR,NISSAN,6AA-GFC28 SERENA,JAPAN,PETROL/ELE,120.0,COLOMBO,RECONDITIONED,2,6AA-GFC28,SERENA
CAR,DAIHATSU,5BA-M900S THOR,JAPAN,PETROL,996.0,COLOMBO,RECONDITIONED,3,5BA-M900S,THOR
CAR,TOYOTA,3BA-VJA300W,JAPAN,PETROL,3444.0,PUTTALAM,RECONDITIONED,2,3BA-VJA300W,Unknown
CAR,TOYOTA,6AA-MXPK11 AQUA,JAPAN,PETROL/ELE,1490.0,GAMPAHA,RECONDITIONED,1,6AA-MXPK11,AQUA
CAR,NISSAN,5AA-B44A ROOX,JAPAN,PETROL/ELE,658.0,COLOMBO,RECONDITIONED,1,5AA-B44A,ROOX
CAR,DAIHATSU,5BA-LA360S MIRA,JAPAN,PETROL,658.0,COLOMBO,RECONDITIONED,2,5BA-LA360S,MIRA
CAR,HONDA,6AA-RV5 VEZEL,JAPAN,PETROL/ELE,1496.0,BADULLA,RECONDITIONED,14,6AA-RV5,VEZEL
CAR,MERCEDES BENZ,C200,UNITED KINGDOM,PETROL/ELE,1496.0,COLOMBO,RECONDITIONED,1,,C200
CAR,TOYOTA,5AA-A202A RAIZE,JAPAN,ELECTRIC,78.0,NUWARA-ELIYA,RECONDITIONED,1,5AA-A202A,RAIZE
CAR,TOYOTA,4BA-M900A ROOMY,JAPAN,PETROL,996.0,PUTTALAM,RECONDITIONED,4,4BA-M900A,ROOMY
CAR,SUZUKI,5BA-MH85S WAGON R,JAPAN,PETROL,656.0,NUWARA-ELIYA,RECONDITIONED,2,5BA-MH85S,WAGON R
