Class of Vehicle,Make/Manufa. Name,Model,Country,Fuel Used,Cylinder Capacity,District,Registration Status,No of vehicle,Model_Code,Clean_Name
CAR,SUZUKI,5BD-DA17V,JAPAN,PETROL,658.0,GAMPAHA,RECONDITIONED,3,5BD-DA17V,EVEREY
DUAL PURPOSE (COMMERCIAL),TOYOTA,HILUX REVO ROCCO,THAILAND,DIESEL,2755.0,JAFFNA,RECONDITIONED,1,,HILUX REVO ROCCO
CAR,HONDA,66A-RV5 VEZEL,JAPAN,PETROL/ELE,1496.0,COLOMBO,RECONDITIONED,1,66A-RV5,VEZEL
CAR,NISSAN,5AA-B44W DAYZ,JAPAN,PETROL,658.0,HAMBANTOTA,RECONDITIONED,1,5AA-B44W,DAYZ
CAR,NISSAN,5AA-B44W DAYZ,JAPAN,PETROL,659.0,MATARA,RECONDITIONED,1,5AA-B44W,DAYZ
CAR,NISSAN,5BD-DR17V CLIPPER,JAPAN,PETROL,658.0,COLOMBO,RECONDITIONED,8,5BD-DR17V,CLIPPER
CAR,TOYOTA,5BA-M900A ROOMY,JAPAN,PETROL,996.0,TRINCOMALEE,RECONDITIONED,3,5BA-M900A,ROOMY
SPECIAL PURPOSE VEHICLE,FURUKAWA,FL60A WHEEL LOADER,JAPAN,DIESEL,2369.0,PUTTALAM,RECONDITIONED,1,,FL60A WHEEL LOADER
SINGLE CAB,SUZUKI,3BD-DA16T  CARRY,JAPAN,PETROL,658.0,KURUNEGALA,RECONDITIONED,2,3BD-DA16T,CARRY
CAR,HONDA,6AA-RV5 VEZEL,JAPAN,PETROL/ELE,1496.0,MONERAGALA,RECONDITIONED,4,6AA-RV5,VEZEL
CAR,SUZUKI,5AA-MH95S WAGON R,JAPAN,PETROL,658.0,JAFFNA,RECONDITIONED,14,5AA-MH95S,WAGON R
CAR,SUZUKI,5AA-MH95S  WAGON R,JAPAN,PETROL,658.0,KURUNEGALA,RECONDITIONED,4,5AA-MH95S,WAGON R
CAR,HONDA,6AA-RV5,JAPAN,PETROL/ELE,1496.0,GALLE,RECONDITIONED,1,6AA-RV5,VEZEL
CAR,SUZUKI,5AA-MK94S SPACIA,JAPAN,PETROL,658.0,PUTTALAM,RECONDITIONED,2,5AA-MK94S,SPACIA
COMMERCIAL,TOYOTA,3DF-GDH223B HIACE,JAPAN,DIESEL,2754.0,PUTTALAM,RECONDITIONED,2,3DF-GDH223B,HIACE
CAR,TOYOTA,3BD-S700M PIXISVAN,JAPAN,PETROL,658.0,COLOMBO,RECONDITIONED,1,3BD-S700M,PIXISVAN
CAR,TOYOTA,5AA-A202A RAIZE,JAPAN,ELECTRIC,78.0,JAFFNA,RECONDITIONED,5,5AA-A202A,RAIZE
CAR,SUZUKI,5AA-MK94S,JAPAN,PETROL,658.0,COLOMBO,RECONDITIONED,2,5AA-MK94S,SPACE
CAR,SUZUKI,5AA-MH95S  WAGON R,JAPAN,PETROL,658.0,GALLE,RECONDITIONED,2,5AA-MH95S,WAGON R
CAR,MAZDA,5AA-MJ95S,JAPAN,PETROL,657.0,COLOMBO,RECONDITIONED,1,5AA-MJ95S,FLAIR
CAR,DAIHATSU,5BA-LA350S MIRA,JAPAN,PETROL,658.0,RATNAPURA,RECONDITIONED,3,5BA-LA350S,MIRA
CAR,TOYOTA,5BA-A201A RAIZE,JAPAN,PETROL,1196.0,AMPARA,RECONDITIONED,3,5BA-A201A,RAIZE
LAND VEHICLE,KUBOTA,GL320,JAPAN,DIESEL,2650.0,GAMPAHA,RECONDITIONED,1,,GL320
