Class of Vehicle,Make/Manufa. Name,Model,Country,Fuel Used,Cylinder Capacity,District,Registration Status,No of vehicle,Model_Code,Clean_Name
MOTOR CYCLE,DASTOL,DW-28,CHINA,ELECTRIC,2.0,HAMBANTOTA,BRAND NEW,1,DW-28,Unknown
MOTOR CYCLE,ROYAL ENFIELD,CLASSIC 350,INDIA,PETROL,349.0,VAVUNIYA,BRAND NEW,1,,CLASSIC 350
LAND VEHICLE (SMALL),LAND FORCE,RK 125,THAILAND,DIESEL,624.0,KURUNEGALA,BRAND NEW,1,,RK 125
MOTOR CYCLE,YADEA,T 9,CHINA,ELECTRIC,2.0,KANDY,BRAND NEW,3,,T 9
MOTOR CYCLE,QUANLE,Q1,CHINA,ELECTRIC,1.2,GAMPAHA,BRAND NEW,2,,Q1
LAND VEHICLE,E KUBOTA,EK3-471 4WD,INDIA,DIESEL,2761.0,KURUNEGALA,BRAND NEW,1,EK3-471,4WD
LAND VEHICLE,E KUBOTA,EK3-471 4WD,INDIA,DIESEL,2761.0,HAMBANTOTA,BRAND NEW,1,EK3-471,4WD
LAND VEHICLE,TAFE,45DI,INDIA,DIESEL,2700.0,HAMBANTOTA,BRAND NEW,1,,45DI
SPECIAL PURPOSE VEHICLE,TOYOTA,FDZN30,CHINA,DIESEL,2486.0,KANDY,BRAND NEW,1,,FDZN30
THREE WHEELER,BAJAJ,RE 4S AUTORICKSHAW,INDIA,PETROL,237.0,RATNAPURA,BRAND NEW,5,,RE 4S AUTORICKSHAW
CAR,BYD,ATTO-3-SUPERIOR,CHINA,ELECTRIC,100.0,KANDY,BRAND NEW,2,ATTO-3-SUPERIOR,Unknown
SINGLE CAB,MAHINDRA,BOLERO CITY PICKUP,INDIA,DIESEL,2523.0,GAMPAHA,BRAND NEW,6,,BOLERO CITY PICKUP
MOTOR CYCLE,DAYWANG(DW)SL,DU,CHINA,ELECTRIC,3.0,AMPARA,BRAND NEW,1,,DU
MOTOR CYCLE,BAJAJ,CT 100 ES,SRI LANKA,PETROL,102.0,PUTTALAM,BRAND NEW,1,,CT 100 ES
THREE WHEELER,BAJAJ,RE 4S AUTORICKSHAW,INDIA,PETROL,237.0,MONERAGALA,BRAND NEW,4,,RE 4S AUTORICKSHAW
LAND VEHICLE,JOHN DEERE,5045D,INDIA,DIESEL,2940.0,VAVUNIYA,BRAND NEW,1,,5045D
THREE WHEELER,BAJAJ,RE 4S AUTORICKSHAW,INDIA,PETROL,237.0,MATALE,BRAND NEW,4,,RE 4S AUTORICKSHAW
LAND VEHICLE,TAFE,7250.DI,INDIA,DIESEL,2500.0,KURUNEGALA,BRAND NEW,1,,7250.DI
LAND VEHICLE,MAHINDRA,YUVO TECH PLUS 585DI,INDIA,DIESEL,2979.0,BADULLA,BRAND NEW,1,,YUVO TECH PLUS 585DI
LAND VEHICLE,KARTAR,GLOBETRAC 4736 2WD,INDIA,DIESEL,3117.0,MULLATIVU,BRAND NEW,1,,GLOBETRAC 4736 2WD
LAND VEHICLE,SONALIKA,DI50RX - 4WD,INDIA,DIESEL,3067.0,ANURADHAPURA,BRAND NEW,1,,DI50RX - 4WD
LAND VEHICLE,YANMAR,YM358R,THAILAND,DIESEL,3319.0,HAMBANTOTA,BRAND NEW,1,,YM358R
CAR,BYD,ATTO-3-SUPERIOR,CHINA,ELECTRIC,100.0,KEGALLE,BRAND NEW,2,ATTO-3-SUPERIOR,Unknown
MOTOR CYCLE,TVS,NTORQ 125,SRI LANKA,PETROL,124.79,RATNAPURA,BRAND NEW-L/ASSEMBLE,58,,NTORQ 125
MOTOR CYCLE,TVS,NTORQ 125,SRI LANKA,PETROL,124.79,GALLE,BRAND NEW-L/ASSEMBLE,113,,NTORQ 125
MOTOR CYCLE,TVS,TVS RAIDER 125,SRI LANKA,PETROL,124.79,PUTTALAM,BRAND NEW-L/ASSEMBLE,40,,TVS RAIDER 125
MOTOR CYCLE,TVS,NTORQ 125,SRI LANKA,PETROL,124.79,KURUNEGALA,BRAND NEW-L/ASSEMBLE,82,,NTORQ 125
MOTOR CYCLE,TVS,NTORQ 125,SRI LANKA,PETROL,124.79,MONERAGALA,BRAND NEW-L/ASSEMBLE,15,,NTORQ 125
MOTOR CYCLE,TVS,NTORQ 125,SRI LANKA,PETROL,124.79,MANNAR,BRAND NEW-L/ASSEMBLE,12,,NTORQ 125
MOTOR CYCLE,RANOMOTO,MOPED SUPER,SRI LANKA,PETROL,49.0,VAVUNIYA,BRAND NEW-L/ASSEMBLE,1,,MOPED SUPER
MOTOR CYCLE,SENARO,GN125,SRI LANKA,PETROL,125.0,COLOMBO,BRAND NEW-L/ASSEMBLE,31,,GN125
MOTOR CYCLE,SENARO,GN125,SRI LANKA,PETROL,125.0,RATNAPURA,BRAND NEW-L/ASSEMBLE,36,,GN125
MOTOR CYCLE,SENARO,GN125,SRI LANKA,PETROL,125.0,BATTICALOA,BRAND NEW-L/ASSEMBLE,26,,GN125
MOTOR CYCLE,RANOMOTO,PATTAYA DOUBLE POWER,SRI LANKA,PETROL,48.0,RATNAPURA,BRAND NEW-L/ASSEMBLE,3,,PATTAYA DOUBLE POWER
MOTOR CYCLE,TVS,NTORQ 125,SRI LANKA,PETROL,124.8,COLOMBO,BRAND NEW-L/ASSEMBLE,212,,NTORQ 125
MOTOR CYCLE,TVS,NTORQ 125,SRI LANKA,PETROL,124.8,KALUTARA,BRAND NEW-L/ASSEMBLE,99,,NTORQ 125
MOTOR CYCLE,BAJAJ,CT 100 ES,SRI LANKA,PETROL,102.0,JAFFNA,BRAND NEW-L/ASSEMBLE,64,,CT 100 ES
MOTOR CYCLE,BAJAJ,CT 100 ES,SRI LANKA,PETROL,102.0,MULLATIVU,BRAND NEW-L/ASSEMBLE,46,,CT 100 ES
MOTOR CYCLE,BAJAJ,PULSAR N160,SRI LANKA,PETROL,164.82,NUWARA-ELIYA,BRAND NEW-L/ASSEMBLE,20,,PULSAR N160
MOTOR CYCLE,BAJAJ,CT 100 ES,SRI LANKA,PETROL,102.0,POLONNARUWA,BRAND NEW-L/ASSEMBLE,159,,CT 100 ES
MOTOR CYCLE,TVS,TVS RAIDER 125,SRI LANKA,PETROL,124.79,MATALE,BRAND NEW-L/ASSEMBLE,15,,TVS RAIDER 125
MOTOR LORRY (COMMERCIAL),LANKA ASHOK LEYLAND,E COMET 1012,SRI LANKA,DIESEL,3839.0,PUTTALAM,BRAND NEW-L/ASSEMBLE,1,,E COMET 1012
MOTOR CYCLE,SENARO,GN125,SRI LANKA,PETROL,125.0,KANDY,BRAND NEW-L/ASSEMBLE,17,,GN125
MOTOR CYCLE,TVS,TVS XL 100,SRI LANKA,PETROL,99.7,KURUNEGALA,BRAND NEW-L/ASSEMBLE,60,,TVS XL 100
MOTOR CYCLE,TVS,NTORQ 125,SRI LANKA,PETROL,124.8,VAVUNIYA,BRAND NEW-L/ASSEMBLE,11,,NTORQ 125
SINGLE CAB,LANKA ASHOK LEYLAND,DOST,SRI LANKA,DIESEL,1478.0,COLOMBO,BRAND NEW-L/ASSEMBLE,6,,DOST
