Class of Vehicle,Make/Manufa. Name,Model,Country,Fuel Used,Cylinder Capacity,District,Registration Status,YOM,No of vehicle,Model_Code,Clean_Name
CAR,TOYOTA,5AA-A202A RAIZE,JAPAN,ELECTRIC,78.0,HAMBANTOTA,RECONDITIONED,2025.0,1,5AA-A202A,RAIZE
CAR,MERCEDES BENZ,4AA-213077C E200,GERMANY,PETROL,1496.0,COLOMBO,RECONDITIONED,2023.0,2,4AA-213077C,E200
CAR,TOYOTA,5AA-A202A SEDAN,JAPAN,ELECTRIC,78.0,COLOMBO,RECONDITIONED,2025.0,1,5AA-A202A,SEDAN
CAR,SUZUKI,5AA-MH95S,JAPAN,PETROL,657.0,JAFFNA,RECONDITIONED,2025.0,1,5AA-MH95S,WOGON R
CAR,TOYOTA,5BA-KSP210 YARIS,JAPAN,PETROL,996.0,RATNAPURA,RECONDITIONED,2023.0,5,5BA-KSP210,YARIS
CAR,SUZUKI,3BA-DA17W EVERY,JAPAN,PETROL,658.0,COLOMBO,RECONDITIONED,2025.0,10,3BA-DA17W,EVERY
CAR,TOYOTA,6AA-ZWR90W VOXY,JAPAN,PETROL/ELE,1797.0,PUTTALAM,RECONDITIONED,2025.0,1,6AA-ZWR90W,VOXY
CAR,SUZUKI,5BA-MH85S WAGON R,JAPAN,PETROL,658.0,KANDY,RECONDITIONED,2025.0,3,5BA-MH85S,WAGON R
CAR,MERCEDES BENZ,5AA-206042C,GERMANY,PETROL,1496.0,COLOMBO,RECONDITIONED,2023.0,2,5AA-206042C,BENZ
CAR,SUZUKI,3BA-DA17W  EVERY,JAPAN,PETROL,656.0,MATARA,RECONDITIONED,2023.0,1,3BA-DA17W,EVERY
CAR,MERCEDES BENZ,GLB200,AUSTRALIA,PETROL,1332.0,COLOMBO,RECONDITIONED,2025.0,1,,GLB200
CAR,TOYOTA,3BA-TRJ150W,JAPAN,PETROL,2693.0,COLOMBO,RECONDITIONED,2023.0,9,3BA-TRJ150W,TXL
CAR,WULING,CLOUD EV,INDONESIA,ELECTRIC,99.0,COLOMBO,BRAND NEW,2025.0,6,,CLOUD EV
CAR,BYD,SEAL-COMFORT,CHINA,ELECTRIC,100.0,MATALE,BRAND NEW,2025.0,1,SEAL-COMFORT,Unknown
CAR,TOYOTA,5BA-KSP210   YARIS,JAPAN,PETROL,996.0,KEGALLE,RECONDITIONED,2023.0,1,5BA-KSP210,YARIS
CAR,SUZUKI,5BA-MH85S WAGON R,JAPAN,PETROL,658.0,MATARA,RECONDITIONED,2024.0,8,5BA-MH85S,WAGON R
CAR,TOYOTA,5BA-KSP210 YARIS,JAPAN,PETROL,996.0,GAMPAHA,RECONDITIONED,2023.0,35,5BA-KSP210,YARIS
