Class of Vehicle,Make/Manufa. Name,Model,Country,Fuel Used,Cylinder Capacity,District,Registration Status,No of vehicle,Model_Code,Clean_Name
MOTOR CYCLE,YADEA,EPOC H,CHINA,ELECTRIC,2.0,COLOMBO,BRAND NEW,8,,EPOC H
MOTOR CYCLE,YADEA,RUIBIN,CHINA,ELECTRIC,0.8,KURUNEGALA,BRAND NEW,1,,RUIBIN
MOTOR CYCLE,DAYWANG(DW)SL,E-MOTORCYCLE,CHINA,ELECTRIC,0.8,COLOMBO,BRAND NEW,1,,E-MOTORCYCLE
MOTOR CYCLE,LUYUAN,M-MHH-Z45LJ,CHINA,ELECTRIC,2.0,GALLE,BRAND NEW,2,,M-MHH-Z45LJ
MOTOR CYCLE,QUANLE,ZL,CHINA,ELECTRIC,2.0,HAMBANTOTA,BRAND NEW,9,,ZL
MOTOR CYCLE,QUANLE,ZL,CHINA,ELECTRIC,2.0,RATNAPURA,BRAND NEW,6,,ZL
MOTOR CYCLE,QUANLE,G18,CHINA,ELECTRIC,2.0,HAMBANTOTA,BRAND NEW,11,,G18
LAND VEHICLE,TAFE,45DI,INDIA,DIESEL,2500.0,POLONNARUWA,BRAND NEW,3,,45DI
MOTOR CYCLE,QUANLE,ZL,CHINA,ELECTRIC,2.0,MONERAGALA,BRAND NEW,2,,ZL
MOTOR CYCLE,VINFAST,KLARA SZ,VIETNAM,ELECTRIC,3.0,COLOMBO,BRAND NEW,2,,KLARA SZ
LAND VEHICLE (SMALL),LAND FORCE,RK 80,THAILAND,DIESEL,443.0,KEGALLE,BRAND NEW,1,,RK 80
MOTOR CYCLE,YADEA,RUIBIN,CHINA,ELECTRIC,0.8,KILINOCHCHI,BRAND NEW,1,,RUIBIN
COMMERCIAL,LANKA ASHOK LEYLAND,VIKING,INDIA,DIESEL,6014.0,POLONNARUWA,BRAND NEW,1,,VIKING
LAND VEHICLE (SMALL),VIKYNO,RV125-2,VIETNAM,DIESEL,624.0,TRINCOMALEE,BRAND NEW,1,RV125-2,Unknown
COMMERCIAL,HIGER,KLQ6128K,CHINA,DIESEL,8400.0,COLOMBO,BRAND NEW,4,,KLQ6128K
MOTOR CYCLE,DASTOL,DW-28,CHINA,ELECTRIC,2.0,COLOMBO,BRAND NEW,1,DW-28,Unknown
