Class of Vehicle,Make/Manufa. Name,Model,Country,Fuel Used,Cylinder Capacity,District,Registration Status,No of vehicle,Model_Code,Clean_Name
LAND VEHICLE,YANMAR,YM358R,THAILAND,DIESEL,3319.0,TRINCOMALEE,BRAND NEW,1,,YM358R
MOTOR CYCLE,NWOW,TK 10,CHINA,ELECTRIC,0.8,GAMPAHA,BRAND NEW,17,,TK 10
MOTOR CYCLE,LUYUAN,S90 PLUS,CHINA,ELECTRIC,1.5,HAMBANTOTA,BRAND NEW,2,,S90 PLUS
MOTOR CYCLE,LUYUAN,MYT,CHINA,ELECTRIC,0.8,GALLE,BRAND NEW,1,,MYT
MOTOR CYCLE,TVS,IQUBE,INDIA,ELECTRIC,3.34,KEGALLE,BRAND NEW,1,,IQUBE
LAND VEHICLE,TAFE,45DI,INDIA,DIESEL,2500.0,POLONNARUWA,BRAND NEW,2,,45DI
MOTOR CYCLE,LUYUAN,MNK3,CHINA,ELECTRIC,1.5,MONERAGALA,BRAND NEW,3,,MNK3
CAR,TOYOTA,FJA300R-GNUZY,JAPAN,DIESEL,3346.0,COLOMBO,BRAND NEW,1,,FJA300R-GNUZY
LAND VEHICLE (SMALL),FARM MASTER,RV125-2,CHINA,DIESEL,624.0,KEGALLE,BRAND NEW,1,RV125-2,Unknown
MOTOR CYCLE,NWOW,SE,CHINA,ELECTRIC,0.8,BADULLA,BRAND NEW,1,,SE
MOTOR CYCLE,LIMA,ELO-07,CHINA,ELECTRIC,1.5,GAMPAHA,BRAND NEW,1,ELO-07,Unknown
MOTOR CYCLE,TVS,IQUBE,INDIA,ELECTRIC,3.34,MONERAGALA,BRAND NEW,2,,IQUBE
MOTOR CYCLE,LUYUAN,M-MHH-Z45LJ,CHINA,ELECTRIC,2.0,GALLE,BRAND NEW,2,,M-MHH-Z45LJ
MOTOR CYCLE,YADEA,EZEEGO,CHINA,ELECTRIC,1.2,MATARA,BRAND NEW,1,,EZEEGO
LAND VEHICLE (SMALL),KUBOTA,K700,JAPAN,DIESEL,508.0,VAVUNIYA,RECONDITIONED,1,,K700
MOTOR CYCLE,KAWASAKI,NINJA ZX25R,JAPAN,PETROL,249.0,KURUNEGALA,RECONDITIONED,1,,NINJA ZX25R
MOTOR CYCLE,HONDA,PCX 160,VIETNAM,PETROL,157.0,KANDY,RECONDITIONED,1,,PCX 160
MOTOR CYCLE,HONDA,SUPER CUB,JAPAN,PETROL,109.0,PUTTALAM,RECONDITIONED,1,,SUPER CUB
MOTOR CYCLE,KARISMA,KARISMA 125S,MALAYSIA,PETROL,124.66,COLOMBO,RECONDITIONED,1,,KARISMA 125S
MOTOR CYCLE,HONDA,ADV160,JAPAN,PETROL,157.0,COLOMBO,RECONDITIONED,2,,ADV160
