iter	RMSE
0	0.71345242
1	0.7047820876
2	0.6962373816
3	0.6877497587
4	0.6797542234
5	0.6705818735
6	0.6628686124
7	0.6553516963
8	0.6480805907
9	0.6407735063
10	0.6335973331
11	0.6266071203
12	0.620681039
13	0.6138282885
14	0.6067607065
15	0.5999782103
16	0.5946986941
17	0.5884297851
18	0.5830384237
19	0.5763953785
20	0.5701292236
21	0.5651151819
22	0.5591856612
23	0.5533868316
24	0.5470358117
25	0.5411298363
26	0.5361165827
27	0.5305535743
28	0.5251321808
29	0.5195924887
30	0.5147396377
31	0.5100985977
32	0.5049291513
33	0.4999389328
34	0.4937595162
35	0.4886912484
36	0.4845307973
37	0.4799331469
38	0.4752362789
39	0.4715117875
40	0.4662847486
41	0.4625532289
42	0.4572092201
43	0.4524335005
44	0.4483740855
45	0.4444109446
46	0.440247832
47	0.4362057443
48	0.4316435958
49	0.4271104654
50	0.4230682253
51	0.418958065
52	0.4155284232
53	0.4108872252
54	0.4071262593
55	0.4025733252
56	0.3984233425
57	0.3950009461
58	0.3916654587
59	0.3879700011
60	0.3838933434
61	0.3803742284
62	0.3768957171
63	0.3738693787
64	0.3704301853
65	0.3667496769
66	0.3636827641
67	0.3604955801
68	0.3572727011
69	0.354153983
70	0.351550856
71	0.3483214933
72	0.3452668384
73	0.3427389845
74	0.3400878458
75	0.3380997964
76	0.334830889
77	0.3318151061
78	0.3292134901
79	0.3269873818
80	0.3242500227
81	0.3217487288
82	0.3192473941
83	0.3171966141
84	0.3149444933
85	0.3127425103
86	0.3102695908
87	0.3080794668
88	0.3053359755
89	0.3030141418
90	0.3008923471
91	0.2989335635
92	0.2962477949
93	0.2939523181
94	0.2918025476
95	0.2895749943
96	0.2873254581
97	0.2853750568
98	0.283571068
99	0.2817605305
100	0.2799585831
101	0.2780561864
102	0.2763566776
103	0.2746607113
104	0.2721132112
105	0.2705088011
106	0.2683635107
107	0.2666409495
108	0.2648968243
109	0.2632008219
110	0.2615852201
111	0.260493886
112	0.2590133347
113	0.2577949379
114	0.2559386842
115	0.254518931
116	0.252610684
117	0.2507408838
118	0.2489181117
119	0.2473913489
120	0.2455123068
121	0.2442130977
122	0.2427171901
123	0.240975789
124	0.239087336
125	0.2380528987
126	0.2364983193
127	0.235253634
128	0.2338302907
129	0.232506573
130	0.23125271
131	0.2297275117
132	0.2281934006
133	0.2268401129
134	0.2255881947
135	0.2244088088
136	0.2232303144
137	0.2218284932
138	0.2204566796
139	0.219468935
140	0.2182855993
141	0.2169422064
142	0.2158412149
143	0.2149663317
144	0.2135538632
145	0.2124986783
146	0.2111643254
147	0.2104912167
148	0.2093352006
149	0.2083335314
150	0.2069927447
151	0.2060021703
152	0.204711825
153	0.2040640706
154	0.2029530987
155	0.2017708508
156	0.2007853365
157	0.1996566681
158	0.1984456348
159	0.197257075
160	0.196190912
161	0.1954957675
162	0.194443977
163	0.1935388262
164	0.1927855523
165	0.1917510345
166	0.1910634033
167	0.1905059596
168	0.1896517524
169	0.1888744582
170	0.1878991897
171	0.1866962175
172	0.1856925236
173	0.1845899812
174	0.1838987199
175	0.1831927669
176	0.1825707665
177	0.1816823875
178	0.1810220171
179	0.1801085099
180	0.1796251756
181	0.17888702
182	0.1784022615
183	0.177789659
184	0.1773300559
185	0.1764972571
186	0.1758101852
187	0.1751179529
188	0.1744383855
189	0.173604737
190	0.1728553518
191	0.1724701767
192	0.1720709956
193	0.1711844937
194	0.1703501613
195	0.1697683703
196	0.1688974263
197	0.1680714581
198	0.1672957238
199	0.1664925374
200	0.1656224518
