iter	Passed	Remaining
400	16306	65022
401	16354	65013
402	16399	64987
403	16437	64936
404	16482	64910
405	16524	64877
406	16570	64855
407	16618	64844
408	16660	64809
409	16701	64768
410	16745	64741
411	16785	64698
412	16829	64670
413	16872	64637
414	16914	64601
415	16955	64562
416	16998	64529
417	17040	64494
418	17086	64471
419	17133	64454
420	17181	64439
421	17291	64658
422	17363	64732
423	17424	64764
424	17473	64755
425	17520	64734
426	17565	64707
427	17611	64685
428	17647	64625
429	17687	64580
430	17725	64528
431	17761	64467
432	17802	64427
433	17840	64374
434	17887	64354
435	17929	64314
436	17974	64290
437	18020	64264
438	18064	64235
439	18106	64195
440	18139	64127
441	18173	64058
442	18206	63988
443	18243	63936
444	18279	63874
445	18314	63814
446	18351	63758
447	18386	63696
448	18423	63640
449	18463	63597
450	18500	63542
451	18538	63488
452	18578	63445
453	18612	63380
454	18646	63315
455	18681	63254
456	18716	63195
457	18751	63132
458	18785	63069
459	18822	63013
460	18858	62956
461	18893	62896
462	18929	62840
463	18966	62785
464	19001	62723
465	19038	62672
466	19073	62610
467	19108	62550
468	19141	62486
469	19176	62425
470	19211	62366
471	19251	62323
472	19287	62267
473	19324	62213
474	19361	62160
475	19400	62113
476	19426	62027
477	19459	61962
478	19493	61900
479	19527	61837
480	19560	61771
481	19592	61703
482	19623	61632
483	19658	61576
484	19691	61509
485	19725	61450
486	19767	61412
487	19814	61392
488	19853	61348
489	19898	61318
490	19945	61300
491	19987	61260
492	20027	61218
493	20074	61200
494	20120	61174
495	20168	61156
496	20220	61149
497	20269	61134
498	20316	61113
499	20357	61072
500	20401	61042
501	20454	61038
502	20501	61014
503	20544	60981
504	20589	60952
505	20637	60933
506	20683	60909
507	20730	60886
508	20774	60853
509	20813	60809
510	20850	60757
511	20890	60713
512	20924	60653
513	20957	60590
514	20990	60525
515	21024	60466
516	21058	60405
517	21090	60340
518	21123	60276
519	21155	60212
520	21192	60161
521	21229	60108
522	21270	60068
523	21306	60015
524	21346	59972
525	21383	59921
526	21423	59880
527	21460	59829
528	21492	59764
529	21524	59699
530	21554	59629
531	21586	59564
532	21617	59499
533	21650	59436
534	21683	59375
535	21713	59308
536	21747	59249
537	21782	59193
538	21815	59132
539	21849	59074
540	21882	59014
541	21917	58959
542	21948	58893
543	21979	58827
544	22011	58765
545	22042	58699
546	22075	58639
547	22108	58580
548	22139	58514
549	22171	58451
550	22202	58388
551	22236	58329
552	22270	58273
553	22303	58215
554	22337	58157
555	22368	58093
556	22400	58032
557	22436	57980
558	22474	57935
559	22512	57889
560	22559	57865
561	22603	57835
562	22655	57825
563	22716	57839
564	22763	57815
565	22820	57817
566	22909	57899
567	23009	58009
568	23050	57971
569	23083	57911
570	23113	57844
571	23150	57795
572	23185	57741
573	23225	57698
574	23261	57648
575	23300	57605
576	23336	57552
577	23371	57499
578	23403	57438
579	23439	57385
580	23473	57329
581	23509	57279
582	23542	57220
583	23575	57162
584	23610	57108
585	23642	57048
586	23675	56990
587	23714	56947
588	23750	56897
589	23788	56849
590	23826	56804
591	23863	56756
592	23899	56706
593	23932	56648
594	23963	56586
595	23993	56520
596	24023	56457
597	24054	56394
598	24085	56333
599	24118	56276
600	24150	56216
601	24182	56158
602	24215	56102
603	24249	56047
604	24282	55990
605	24315	55934
606	24349	55879
607	24381	55821
608	24413	55762
609	24446	55706
610	24480	55651
611	24512	55593
612	24543	55533
613	24575	55475
614	24608	55420
615	24642	55366
616	24675	55310
617	24709	55256
618	24742	55200
619	24775	55144
620	24807	55087
621	24844	55041
622	24877	54985
623	24910	54930
624	24940	54870
