Title,Price,Year,Fuel,Engine,Transmission,Posted,URL,Page,Source,Full_Text,Price_Numeric
Nissan Wingroad Y12 2007 Car,"Rs. 4,865,000",2007,,,,,https://riyasewana.com/buy/nissan-wingroad-y12-sale-negombo-10894428,3,li,"Nissan Wingroad Y12 2007 Car Negombo Rs. 4,865,000 198000 (km) 2025-12-14",4865000
Toyota Corolla 121 2003 Car,"Rs. 5,500,000",2003,,,,,https://riyasewana.com/buy/toyota-corolla-121-sale-kandy-10894425,3,li,"Toyota Corolla 121 2003 Car Kandy Rs. 5,500,000 300000 (km) 2025-12-14",5500000
Toyota Corona AT170 1993 Car,"Rs. 1,890,000",1993,,,,,https://riyasewana.com/buy/toyota-corona-at170-sale-avissawella-10894420,3,li,"Toyota Corona AT170 1993 Car Avissawella Rs. 1,890,000 200000 (km) 2025-12-14",1890000
Micro Panda 1.0 2015 Car,,2015,,,,,https://riyasewana.com/buy/micro-panda-1-0-sale-minuwangoda-10894419,3,li,Micro Panda 1.0 2015 Car Minuwangoda Negotiable 75000 (km) 2025-12-14,0
Nissan Trad Sunny HB12 1989 Car,"Rs. 1,575,000",1989,,,,,https://riyasewana.com/buy/nissan-trad-sunny-sale-nittambuwa-10894416,3,li,"Nissan Trad Sunny HB12 1989 Car Nittambuwa Rs. 1,575,000 2025-12-14",1575000
Honda Fit Gp1 2013 Car,,2013,,,,,https://riyasewana.com/buy/honda-fit-gp1-sale-tangalle-10894413,3,li,Honda Fit Gp1 2013 Car Tangalle Negotiable 122000 (km) 2025-12-14,0
Toyota Vitz 2018 Car,"Rs. 8,250,000",2018,,,,,https://riyasewana.com/buy/toyota-vitz-sale-battaramulla-10894400,3,li,"Toyota Vitz 2018 Car Battaramulla Rs. 8,250,000 30500 (km) 2025-12-14",8250000
Nissan AD Wagon Y10 1997 Car,"Rs. 2,750,000",1997,,,,,https://riyasewana.com/buy/nissan-ad-wagon-sale-horana-10894397,3,li,"Nissan AD Wagon Y10 1997 Car Horana Rs. 2,750,000 140000 (km) 2025-12-14",2750000
Mazda Familia 323 BG3P 1991 Car,,1991,,,,,https://riyasewana.com/buy/mazda-familia-323-sale-colombo-10894392,3,li,Mazda Familia 323 BG3P 1991 Car Colombo Negotiable 1038000 (km) 2025-12-14,0
Honda FIT 2014 Car,"Rs. 8,200,000",2014,,,,,https://riyasewana.com/buy/honda-fit-sale-malabe-10894390,3,li,"Honda FIT 2014 Car Malabe Rs. 8,200,000 84000 (km) 2025-12-14",8200000
