Vehicle Type,Make,Model,Year,Price,Milleage,District,published date,Vehicle URL
Van,Toyota,Hiace Long,1987,Negotiable,,Gampola,2026-02-25,https://riyasewana.com/buy/toyota-hiace-long-sale-gampola-11260195
Motorbike,Hero-Honda,GLAMOUR,2000,"Rs. 148,000",1,Dompe,2026-02-25,https://riyasewana.com/buy/hero-honda-glamour-sale-dompe-11260194
Three Wheel,TVS,KING,2010,"Rs. 935,000",134567,Homagama,2026-02-25,https://riyasewana.com/buy/tvs-king-sale-homagama-11260193
Three Wheel,Bajaj,4 Stroke,2012,Negotiable,1,Kiribathgoda,2026-02-25,https://riyasewana.com/buy/bajaj-4-stroke-sale-kiribathgoda-11260191
Motorbike,TVS,Ntorq,2020,"Rs. 580,000",42315,Ratnapura,2026-02-25,https://riyasewana.com/buy/tvs-ntorq-sale-ratnapura-11260190
Three Wheel,Bajaj,RE 4 Stroke,2012,"Rs. 1,265,000",38483,Nittambuwa,2026-02-22,https://riyasewana.com/buy/bajaj-re-4-sale-nittambuwa-11245129
Van,Suzuki,Every DA 17 PC LIMITED,2016,"Rs. 6,285,000",136500,Beruwala,2026-02-24,https://riyasewana.com/buy/suzuki-every-da-sale-beruwala-11255904
Car,Suzuki,Hustler,2023,"Rs. 8,500,000",9200,Polgahawela,2026-02-22,https://riyasewana.com/buy/suzuki-hustler-sale-polgahawela-11245359
SUV,Toyota,CHR NGX10 GT,2019,"Rs. 13,750,000",51500,Panadura,2026-02-20,https://riyasewana.com/buy/toyota-chr-ngx10-sale-panadura-11231715
Motorbike,Bajaj,Platina 100,2007,"Rs. 190,000",79000,Dompe,2026-02-25,https://riyasewana.com/buy/bajaj-platina-100-sale-dompe-11260189
Van,Suzuki,Every DA17V PC LIMITED,2020,"Rs. 6,185,000",101000,Kurunegala,2026-02-25,https://riyasewana.com/buy/suzuki-every-da17v-sale-kurunegala-11260188
Van,Daihatsu,Hijst,2007,"Rs. 3,600,000",112350,Kandy,2026-02-25,https://riyasewana.com/buy/daihatsu-hijst-sale-kandy-11260167
