iter	RMSE
464	0.2165804413
465	0.2164937106
466	0.2163490762
467	0.2160608661
468	0.2158795467
469	0.215705266
470	0.2155850001
471	0.2154356718
472	0.2152388777
473	0.2151374704
474	0.2150479818
475	0.2149632325
476	0.2149453415
477	0.214774193
478	0.2146962066
479	0.2144979907
480	0.214358272
481	0.2143015968
482	0.2141799459
483	0.214108136
484	0.2140179805
485	0.2139863585
486	0.2139024662
487	0.2137151344
488	0.2136491345
489	0.2135800797
490	0.2133676521
491	0.2132136024
492	0.2130879562
493	0.2130488161
494	0.2128948808
495	0.2126983665
496	0.2126297353
497	0.2125578534
498	0.2124544732
499	0.212403105
500	0.2122841595
501	0.2121884014
502	0.2121006679
503	0.2119951387
504	0.2119565531
505	0.2118728839
506	0.2117545005
507	0.211626311
508	0.2115633861
509	0.2115240514
510	0.2114661439
511	0.2113212236
512	0.2111625259
513	0.2110225996
514	0.2109703843
515	0.2108850906
516	0.2107345866
517	0.2106721497
518	0.2106065591
519	0.2105160968
520	0.2104150539
521	0.2103315231
522	0.2102315224
523	0.210190558
524	0.2101531498
525	0.2098798592
526	0.2098219527
527	0.2096339581
528	0.2093416749
529	0.2092501038
530	0.2091884968
531	0.2090594651
532	0.2089780292
533	0.2088665907
534	0.2087680349
535	0.208659499
536	0.2085582581
537	0.2085062077
538	0.2082810496
539	0.2080946098
540	0.2079648603
541	0.2076984689
542	0.207593643
543	0.2075292794
544	0.2073394327
545	0.2071906781
546	0.2071739795
547	0.2070791949
548	0.2068005062
549	0.2067362129
550	0.2065476392
551	0.2064109935
552	0.2063151947
553	0.2062076619
554	0.205935611
555	0.2057982769
556	0.205698742
557	0.2054677884
558	0.2053927263
559	0.2053320165
560	0.2050817661
561	0.2047610891
562	0.2045888745
563	0.2045075908
564	0.2042362589
565	0.2041371401
566	0.204053971
567	0.2039570887
568	0.2038574006
569	0.2037333369
570	0.2035285766
571	0.2034130358
572	0.203303235
573	0.2031983234
574	0.2030761322
575	0.2028409329
576	0.2026952631
577	0.2024589852
578	0.2023470628
579	0.2022713492
580	0.2021083188
581	0.2020520778
582	0.2019847602
583	0.201903899
584	0.2017639488
585	0.2016765335
586	0.201597779
587	0.2015230928
588	0.2014570702
589	0.2011948839
590	0.2010497367
591	0.2009433771
592	0.2008729997
593	0.2008240356
594	0.2006337031
595	0.200556249
596	0.2004438482
597	0.2003961937
598	0.2001572014
599	0.2000941823
600	0.1999626683
601	0.1999013302
602	0.1998567344
603	0.1997496342
604	0.199466351
605	0.1994415136
606	0.1991951751
607	0.1991573947
608	0.1991009437
609	0.1990280178
610	0.198923439
611	0.1988580065
612	0.1988451963
613	0.1987242119
614	0.1985766364
615	0.1985235048
616	0.1982595315
617	0.1981783072
618	0.1981652408
619	0.1981165336
620	0.1980566994
621	0.1979381199
622	0.1978941939
623	0.1978499242
624	0.1977887247
